Exercise,Gender,Age,Height,Weight,Like_1,Hate_1
1,Male,42,149,67,참기름,토마토
0,Male,33,143,88,키위,단감
0,Male,51,153,95,오이,찜갈비
1,Male,30,181,75,표고버섯,우유
1,Female,37,176,49,딸기,마른국수
1,Male,22,144,59,북어채,오렌지
1,Male,47,145,57,돼지고기,갈치
2,Female,35,152,76,감자,사과
2,Male,34,142,79,두부,귤
2,Male,24,148,93,우유,우유
0,Male,56,176,82,도라지,쌀밥
2,Male,23,188,67,단호박,우유
1,Male,45,187,40,땅콩,우유
2,Male,58,155,69,바나나,땅콩
1,Female,26,172,50,곶감,딸기
0,Male,54,141,62,바나나,땅콩
1,Female,38,162,79,사과,고등어
0,Female,56,153,81,시금치,참기름
2,Female,20,148,69,식빵,우유
1,Female,27,146,75,잡곡밥,시금치
1,Male,33,189,62,비엔나소시지,크래커
0,Male,45,141,52,참기름,찜갈비
0,Male,27,176,91,햄(로스),땅콩
0,Female,43,180,47,갈치,뱀장어
2,Male,30,168,91,우유,찜갈비
0,Male,37,145,70,오이,애호박
0,Male,26,158,42,도토리 묵,우유
2,Female,52,155,68,토마토,표고버섯
0,Female,30,151,81,가자미,식빵
1,Male,42,153,48,땅콩,돼지고기
2,Female,38,168,86,닭고기(닭다리),참기름
2,Male,53,158,78,삶은 국수,물오징어
2,Male,53,162,61,당근,곶감
0,Female,59,175,44,콘플레이크,백미
2,Female,32,180,89,땅콩,땅콩
0,Female,56,176,92,바나나,새우(중하)
2,Female,48,189,88,마른국수,키위
0,Male,48,176,59,도라지,두부
0,Female,28,158,51,식빵,시금치
2,Male,31,147,48,잡곡밥,우유
1,Male,56,169,89,애호박,우유
1,Male,50,180,49,우유,우유
0,Male,26,189,60,참기름,멸치
1,Male,49,170,83,참기름,단감
2,Male,26,164,94,우유,곶감
0,Female,24,150,86,오이,토마토
0,Female,48,149,60,도토리 묵,당근주스
2,Female,50,173,78,마른국수,우유
1,Male,38,162,41,가자미,우유
2,Female,41,185,98,땅콩,참기름
0,Female,31,161,47,땅콩,딸기
0,Male,53,141,91,표고버섯,땅콩
1,Female,33,189,84,당근주스,참기름
1,Male,20,173,97,밤,느타리 버섯
0,Female,58,176,54,키위,강냉이(옥수수)
2,Male,29,162,64,수박,우유
2,Female,30,182,86,햄(로스),참기름
2,Male,22,177,86,참기름,땅콩
0,Male,26,170,95,크래커,키위
1,Male,58,149,99,완두콩,참기름
1,Female,51,177,90,애호박,오이
1,Female,37,147,63,곶감,시금치
0,Female,48,180,79,참기름,우유
2,Male,37,188,77,참기름,삼겹살
0,Female,23,176,99,사과,참기름
2,Female,44,170,60,시금치,참기름
2,Male,32,180,67,식빵,우유
2,Female,41,144,76,미숫가루,시금치
2,Male,48,189,66,비엔나소시지,당근주스
1,Male,33,145,59,땅콩,표고버섯
0,Female,28,158,73,참기름,땅콩
1,Male,57,165,48,땅콩,뱀장어
1,Female,46,169,51,땅콩,꽁치
0,Male,35,162,93,고구마,물오징어
0,Female,26,189,98,삶은 국수,우유
0,Female,45,165,99,수박,표고버섯
2,Female,26,164,72,햄(로스),어묵(튀긴 것)
1,Female,39,181,86,땅콩,새우(중하)
2,Male,48,149,82,오이,참기름
0,Female,24,141,78,표고버섯,검정콩
2,Male,49,175,96,당근,곶감
0,Female,26,154,98,콘플레이크,삶은 국수
0,Male,31,162,86,우유,오이
2,Male,28,160,91,땅콩,완두콩
2,Female,44,152,62,닭고기(닭다리),키위
0,Female,57,155,53,도라지,두부
0,Male,28,140,48,식빵,오이
0,Male,44,144,64,잡곡밥,인절미
2,Male,30,169,48,표고버섯,우유
0,Male,48,146,71,배,완두콩
1,Female,37,184,73,참기름,멸치
0,Male,32,181,99,참기름,배
1,Male,51,177,53,우유,땅콩
2,Female,52,165,63,고구마,단감
0,Male,48,180,41,우유,밤
0,Female,33,184,93,우유,우유
0,Female,33,188,76,인절미,오이
2,Male,39,151,75,땅콩,우유
0,Male,42,143,44,고등어,바나나
1,Female,25,175,91,어묵(튀긴 것),땅콩
1,Female,29,152,59,당근주스,동태
1,Female,28,152,90,우유,땅콩
0,Male,38,171,66,애호박,쌀밥
0,Female,41,160,63,우유,시금치
1,Male,57,182,45,귤,당근주스
1,Male,20,144,49,참치통조림,땅콩
1,Male,37,153,76,당근주스,쇠고기
2,Male,60,184,40,연근,참기름
2,Male,26,164,94,애호박,오이
0,Male,24,150,86,강냉이(옥수수),우유
0,Male,48,162,61,오렌지,베이컨
0,Female,51,187,94,딸기,땅콩
1,Female,49,176,58,크래커,참기름
2,Female,42,185,98,시금치,참기름
2,Female,32,162,48,애호박,우유
1,Male,24,142,47,낫또,애호박
2,Male,44,152,40,느타리 버섯,당근주스
2,Female,31,174,53,단감,표고버섯
0,Female,28,140,70,참기름,땅콩
2,Male,29,163,64,땅콩,물오징어
2,Male,41,182,86,우유,연근
2,Female,33,141,87,당근주스,느타리 버섯
1,Male,37,184,95,삶은 국수,우유
1,Male,58,149,99,수박,연근
1,Male,21,141,47,햄(로스),어묵(튀긴 것)
1,Female,48,160,79,토마토,새우(중하)
1,Male,59,144,95,당근주스,참기름
2,Female,48,152,94,연근,검정콩
0,Female,34,188,54,우유,쌀밥
0,Male,54,169,75,쌀밥,인절미
0,Female,42,156,82,우유,당근주스
1,Male,51,170,47,땅콩,굴
1,Female,29,152,81,닭고기(닭다리),비엔나소시지
0,Female,43,171,90,참기름,두부
1,Female,49,184,44,당근,땅콩
2,Male,37,141,79,단호박,인절미
1,Male,26,145,83,느타리 버섯,잡곡밥
1,Female,46,174,64,배,완두콩
2,Female,47,165,69,참기름,당근
2,Female,56,178,55,땅콩,오렌지
0,Male,36,140,87,수박,미숫가루
2,Female,20,144,57,표고버섯,감자
1,Female,59,175,54,애호박,당근주스
1,Male,46,167,49,닭고기(닭다리),고구마
2,Male,60,189,96,가자미,우유
1,Male,27,167,54,토마토,사과
0,Male,42,175,42,땅콩,어묵(튀긴 것)
2,Male,39,173,48,느타리 버섯,식빵
2,Female,33,153,63,도토리 묵,우유
1,Female,27,169,69,연근,고구마
0,Female,39,153,48,완두콩,애호박
1,Male,55,144,64,바나나,사과
0,Male,41,182,64,닭고기(닭다리),참기름
1,Female,48,159,87,우유,수박
2,Female,48,147,89,당근주스,쇠고기
1,Male,43,181,55,단호박,우유
1,Male,51,177,69,우유,오이
0,Female,22,179,80,잡곡밥,우유
1,Male,59,181,57,우유,마른국수
1,Female,44,184,50,참기름,땅콩
1,Female,45,189,92,사과,갈치
2,Male,50,164,91,시금치,참기름
0,Male,42,156,60,강냉이(옥수수),귤
2,Male,36,189,47,미숫가루,애호박
1,Male,29,166,75,느타리 버섯,콘플레이크
2,Female,39,152,46,우유,표고버섯
1,Female,38,185,66,고등어,우유
1,Male,52,160,79,검정콩,쌀밥
1,Female,26,145,45,땅콩,딸기
2,Female,31,156,64,밤,검정콩
0,Female,48,179,48,백미,우유
0,Female,41,160,55,가래떡,삶은 국수
0,Female,36,140,65,감자,강냉이(옥수수)
0,Female,35,176,57,땅콩,완두콩
2,Female,29,175,92,삼겹살,참기름
1,Male,31,163,65,베이컨,배
0,Male,59,151,89,당근,키위
0,Male,22,161,69,우유,단감
0,Male,53,188,79,우유,삼겹살
1,Female,34,154,63,바나나,완두콩
0,Female,54,178,56,오렌지,단감
0,Female,52,149,84,참기름,오렌지
1,Male,49,166,41,돼지고기,갈치
0,Female,50,189,79,감자,토마토
0,Female,52,145,41,애호박,우유
0,Female,44,141,43,우유,우유
2,Female,48,147,51,도라지,콘플레이크
2,Male,58,163,55,당근,우유
2,Male,21,141,47,땅콩,땅콩
2,Male,59,160,96,북어채,수박
1,Male,29,144,95,백미,양념갈비
2,Female,59,165,50,가래떡,우유
1,Male,34,189,54,도라지,우유
1,Male,35,146,47,땅콩,우유
1,Male,53,170,98,꽁치,백미
1,Male,21,171,63,검정콩,땅콩
1,Female,29,165,97,참기름,참기름
1,Female,54,184,46,키위,땅콩
2,Male,49,148,60,인절미,잡곡밥
0,Male,37,155,95,수박,우유
2,Female,37,158,99,오렌지,땅콩
1,Female,57,188,80,땅콩,땅콩
2,Male,47,179,70,뱀장어,토마토
0,Male,26,142,71,동태,땅콩
1,Male,47,154,43,애호박,표고버섯
0,Male,31,158,73,우유,애호박
1,Female,29,175,54,우유,우유
0,Male,27,144,65,참기름,표고버섯
1,Female,29,165,67,참기름,식빵
2,Female,48,143,69,참기름,참기름
2,Male,34,164,73,강냉이(옥수수),귤
1,Male,30,163,79,고구마,애호박
2,Female,35,142,65,느타리 버섯,쌀밥
0,Male,48,144,56,우유,표고버섯
0,Male,30,142,95,시금치,우유
0,Female,47,184,52,검정콩,쇠고기
2,Male,33,172,96,참기름,딸기
1,Male,51,162,91,도토리 묵,새우(중하)
1,Female,40,187,61,우유,참기름
0,Male,35,171,43,우유,백미
1,Male,54,181,73,건오징어채,잡곡밥
0,Female,25,182,83,땅콩,가자미
0,Male,21,184,61,찜갈비,참기름
1,Female,36,187,54,베이컨,굴
1,Female,36,142,96,당근,곶감
0,Male,53,181,95,쌀밥,마른국수
1,Male,56,173,80,우유,표고버섯
0,Male,20,169,83,우유,감자
2,Female,42,182,95,오렌지,우유
1,Female,23,182,82,멸치,닭고기(닭다리)
0,Male,22,164,42,물오징어,참기름
2,Male,36,140,55,미숫가루,토마토
1,Female,20,175,96,애호박,우유
2,Male,55,186,56,우유,우유
1,Male,31,158,83,참기름,당근
2,Female,55,177,92,참기름,우유
2,Male,20,171,86,땅콩,땅콩
0,Female,30,170,50,갈치,땅콩
0,Female,54,156,68,배,양념갈비
0,Male,26,143,42,우유,땅콩
2,Female,54,145,66,크래커,참기름
2,Male,58,142,46,단호박,도라지
1,Male,48,181,87,갈치,우유
1,Female,29,162,55,두부,시금치
0,Male,49,159,48,양념갈비,치즈
0,Male,58,157,92,딸기,삼겹살
2,Male,55,173,94,참기름,땅콩
1,Female,56,146,44,시금치,북어채
1,Male,27,165,66,우유,가래떡
2,Male,30,174,82,가래떡,도토리 묵
1,Female,34,167,91,우유,단호박
2,Male,55,159,51,우유,돼지고기
1,Female,48,174,86,굴,갈치
0,Male,34,143,75,우유,물오징어
0,Female,46,178,76,당근주스,참기름
1,Male,46,186,90,연근,도토리 묵
1,Male,31,186,51,우유,콘플레이크
0,Male,22,180,72,콘플레이크,삶은 국수
2,Female,40,140,79,땅콩,느타리 버섯
0,Male,60,168,60,땅콩,곶감
0,Female,26,163,94,배,딸기
1,Male,22,144,59,동태,배
1,Male,47,145,57,크래커,오이
2,Female,35,152,76,굴,삶은 국수
0,Female,45,155,95,표고버섯,강냉이(옥수수)
2,Male,24,148,93,바나나,곶감
0,Female,26,189,98,참기름,건오징어채
0,Male,34,152,83,참기름,배
1,Female,56,151,56,우유,곶감
1,Female,39,181,42,미숫가루,우유
0,Male,48,149,82,식빵,가래떡
1,Female,35,168,94,배,미숫가루
2,Male,49,175,95,쇠고기,우유
1,Male,26,167,97,토마토,단감
0,Male,32,163,87,오이,갈치
2,Male,40,161,93,표고버섯,우유
2,Female,45,154,80,우유,단호박
1,Female,58,156,70,가래떡,우유
0,Female,40,141,49,우유,강냉이(옥수수)
2,Male,26,159,81,땅콩,참기름
0,Female,53,146,65,배,참치통조림
2,Female,30,187,60,땅콩,땅콩
0,Male,60,148,90,가래떡,쌀밥
1,Female,44,146,57,단호박,우유
0,Female,33,155,86,참기름,오이
1,Male,45,156,53,바나나,우유
2,Female,30,158,74,참기름,딸기
2,Male,56,161,83,참기름,땅콩
2,Male,56,166,66,사과,고등어
1,Female,32,142,65,시금치,당근주스
2,Female,35,184,93,식빵,우유
1,Female,29,143,52,잡곡밥,시금치
0,Male,21,156,48,비엔나소시지,크래커
1,Female,21,143,80,참기름,땅콩
0,Male,32,163,57,땅콩,토마토
2,Female,35,152,54,표고버섯,북어채
1,Female,60,173,95,우유,삼겹살
2,Female,24,148,70,가래떡,도토리 묵
1,Male,41,157,82,딸기,우유
0,Female,23,188,45,단감,밤
0,Female,40,182,55,곶감,식빵
1,Female,39,168,47,땅콩,곶감
2,Male,33,180,98,당근주스,우유
1,Male,35,154,55,연근,백미
1,Male,33,156,95,우유,쌀밥
1,Male,26,166,75,콘플레이크,삶은 국수
2,Male,57,143,85,곶감,느타리 버섯
0,Male,49,186,85,바나나,곶감
1,Female,28,183,78,오렌지,딸기
2,Female,26,181,46,도라지,배
0,Female,23,184,63,크래커,고등어
2,Female,24,157,57,완두콩,완두콩
0,Female,36,140,95,땅콩,백미
0,Male,28,185,96,딸기,잡곡밥
1,Male,33,179,45,참기름,멸치
1,Male,54,144,93,참기름,단감
1,Female,47,172,85,우유,곶감
1,Female,44,155,74,시금치,우유
0,Female,55,189,89,도토리 묵,가래떡
0,Female,55,160,44,단감,우유
1,Male,40,147,64,쇠고기,우유
0,Male,20,141,85,땅콩,참기름
1,Female,60,165,48,햄(로스),딸기
1,Male,28,179,57,어묵(튀긴 것),땅콩
2,Male,46,187,63,당근주스,참기름
1,Male,31,142,56,우유,땅콩
2,Female,26,156,70,우유,우유
1,Male,55,163,45,우유,도라지
1,Male,54,180,64,우유,오이
0,Female,44,173,46,두부,시금치
1,Female,35,150,51,사과,땅콩
1,Female,54,176,53,키위,닭고기(닭다리)
0,Male,35,175,85,강냉이(옥수수),고등어
2,Female,49,143,40,표고버섯,시금치
0,Male,58,161,96,땅콩,우유
1,Female,34,153,92,땅콩,표고버섯
0,Male,58,187,50,참기름,식빵
1,Male,36,165,52,건오징어채,뱀장어
1,Female,52,186,56,수박,땅콩
0,Female,48,185,61,우유,북어채
2,Female,53,164,76,백미,사과
2,Male,36,180,83,연근,도토리 묵
2,Female,48,165,78,감자,애호박
2,Female,34,182,50,바나나,밤
1,Female,21,157,94,삼겹살,딸기
0,Male,38,184,56,고구마,물오징어
0,Male,27,172,59,우유,단호박
2,Male,22,169,85,우유,도토리 묵
1,Male,53,179,54,토마토,우유
2,Female,53,167,65,두부,삶은 국수
0,Male,49,182,43,오렌지,참치통조림
1,Female,34,185,95,딸기,곶감
0,Female,35,140,78,뱀장어,땅콩
2,Male,40,152,77,우유,배
0,Male,44,145,47,애호박,오이
2,Male,38,141,49,땅콩,완두콩
1,Female,30,154,61,오렌지,우유
1,Female,30,154,93,참치통조림,배
1,Female,51,187,85,수박,건오징어채
1,Male,54,175,82,귤,땅콩
2,Female,28,147,63,강냉이(옥수수),참기름
0,Female,43,171,83,연근,느타리 버섯
0,Female,60,181,50,느타리 버섯,콘플레이크
2,Male,53,175,89,뱀장어,도라지
2,Male,60,156,84,고등어,애호박
0,Male,28,154,91,고구마,땅콩
2,Female,41,154,50,우유,밤
2,Female,43,178,83,우유,땅콩
1,Female,53,180,63,인절미,단호박
2,Female,45,140,43,단호박,도라지
2,Female,35,166,53,고등어,우유
1,Female,27,146,53,어묵(튀긴 것),단호박
2,Male,48,157,46,삼겹살,참치통조림
2,Female,34,178,58,우유,닭고기(닭다리)
0,Male,32,145,76,당근,땅콩
2,Male,33,168,70,시금치,건오징어채
0,Male,46,187,92,귤,당근주스
0,Female,37,146,93,참치통조림,오이
2,Female,52,153,57,사과,땅콩
2,Male,32,168,62,토마토,유부
2,Male,26,146,53,강냉이(옥수수),고등어
0,Male,22,179,42,우유,멸치
2,Male,33,162,57,느타리 버섯,연근
1,Male,33,184,72,당근주스,고구마
2,Female,60,170,93,참기름,크래커
2,Female,39,151,54,수박,밤
2,Male,27,188,60,땅콩,비엔나소시지
2,Female,36,152,85,우유,북어채
0,Male,25,147,75,백미,밤
0,Female,39,166,84,단호박,도토리 묵
0,Female,34,166,83,동태,애호박
2,Female,33,187,74,물오징어,밤
1,Male,22,140,77,삼겹살,바나나
1,Female,42,170,58,바나나,곶감
2,Female,44,161,65,참기름,동태
1,Female,41,161,94,시금치,바나나
2,Male,22,173,66,완두콩,강냉이(옥수수)
2,Female,57,140,52,낫또,쌀밥
0,Female,55,171,49,고등어,참치통조림
2,Male,53,177,60,검정콩,배
2,Male,26,147,46,뱀장어,땅콩
1,Male,34,176,64,우유,단감
1,Female,60,147,68,애호박,미숫가루
0,Female,57,145,74,오이,우유
1,Male,21,188,45,참기름,당근
2,Male,44,140,95,사과,우유
2,Female,56,175,74,땅콩,바나나
0,Male,43,179,46,땅콩,참기름
2,Male,29,167,46,배,비엔나소시지
1,Female,47,157,85,표고버섯,땅콩
1,Female,36,182,71,마른국수,우유
1,Male,42,179,53,쌀밥,느타리 버섯
1,Male,50,176,67,멸치,잡곡밥
2,Female,21,177,78,땅콩,도라지
1,Male,58,180,56,돼지고기,딸기
0,Female,32,170,93,참기름,땅콩
0,Female,33,174,75,우유,햄(로스)
2,Male,49,163,90,단호박,느타리 버섯
0,Male,41,155,59,감자,우유
2,Male,47,151,62,배,시금치
1,Male,28,165,74,찜갈비,크래커
2,Female,39,151,45,참기름,닭고기(닭다리)
2,Female,49,147,81,새우(중하),땅콩
2,Male,22,172,94,꽁치,수박
2,Female,36,157,60,오이,오렌지
1,Male,52,182,95,마른국수,고구마
0,Male,58,141,62,딸기,우유
1,Male,51,172,70,단감,밤
2,Male,57,166,96,곶감,귤
2,Male,56,152,88,땅콩,수박
0,Male,50,151,62,마른국수,참기름
0,Female,52,188,96,밤,바나나
2,Female,50,140,76,도라지,우유
0,Male,54,150,56,우유,우유
0,Female,44,177,66,땅콩,백미
1,Female,26,144,51,땅콩,우유
2,Male,35,155,88,참기름,딸기
2,Female,44,189,72,연근,바나나
0,Female,41,156,89,크래커,미숫가루
2,Male,42,179,67,쌀밥,우유
0,Male,54,148,45,갈치,우유
0,Female,46,143,46,참기름,우유
0,Female,20,163,70,쇠고기,토마토
0,Female,30,179,74,건오징어채,참기름
2,Male,23,143,50,오이,우유
0,Male,31,176,54,단호박,우유
2,Male,42,160,54,오렌지,가래떡
0,Female,31,181,69,단감,우유
0,Female,57,168,89,돼지고기,땅콩
2,Female,48,162,66,땅콩,참기름
0,Female,36,149,73,굴,오렌지
2,Female,45,150,98,고구마,땅콩
0,Male,53,145,72,당근주스,연근
0,Female,48,176,97,우유,느타리 버섯
1,Female,32,177,95,참기름,우유
1,Female,20,184,70,땅콩,참기름
1,Male,20,188,74,배,땅콩
0,Male,40,168,56,느타리 버섯,땅콩
2,Male,42,172,61,크래커,사과
2,Female,50,171,47,쌀밥,느타리 버섯
0,Female,31,183,79,시금치,오이
0,Female,25,151,65,우유,단호박
1,Female,23,168,45,땅콩,참기름
2,Male,51,174,41,땅콩,닭고기(닭다리)
0,Female,24,158,59,참기름,귤
2,Male,42,186,61,완두콩,치즈
2,Male,28,157,65,우유,표고버섯
1,Male,24,156,70,배,시금치
1,Male,60,172,41,찜갈비,크래커
0,Male,42,188,48,참기름,삼겹살
2,Male,24,186,87,새우(중하),땅콩
1,Male,51,140,59,꽁치,유부
2,Male,38,178,43,느타리 버섯,오렌지
0,Male,44,155,81,미숫가루,식빵
2,Female,44,143,68,우유,당근
0,Male,39,177,50,땅콩,고구마
1,Male,48,174,64,키위,우유
2,Male,60,175,75,어묵(튀긴 것),사과
0,Male,56,177,53,마른국수,참기름
1,Male,30,180,45,밤,식빵
1,Male,31,185,88,도라지,우유
2,Male,36,161,71,수박,도토리 묵
1,Male,50,166,72,땅콩,애호박
2,Male,44,149,59,땅콩,곶감
1,Male,26,162,71,배,참기름
0,Male,47,162,58,베이컨,바나나
2,Female,46,144,78,우유,가자미
1,Male,30,183,47,우유,땅콩
0,Male,45,155,72,식빵,연근
1,Male,39,166,92,당근주스,표고버섯
0,Male,25,152,75,비엔나소시지,크래커
1,Male,49,170,82,치즈,연근
2,Male,25,177,93,햄(로스),어묵(튀긴 것)
0,Female,24,162,41,귤,새우(중하)
0,Female,47,148,59,당근주스,오렌지
2,Female,20,185,93,연근,검정콩
2,Female,48,188,56,우유,쌀밥
2,Male,52,185,98,쌀밥,삶은 국수
0,Female,31,161,63,굴,우유
0,Male,53,141,91,갈치,굴
0,Male,44,152,40,닭고기(닭다리),비엔나소시지
2,Female,41,187,68,우유,두부
0,Female,38,153,69,당근,땅콩
0,Male,39,176,79,단호박,감자
0,Female,52,145,42,땅콩,마른국수
0,Female,44,140,42,단감,미숫가루
0,Female,58,147,67,참기름,북어채
0,Female,28,176,71,땅콩,단감
0,Male,32,154,62,수박,귤
2,Male,59,173,51,시금치,토마토
1,Male,29,157,51,표고버섯,당근주스
1,Male,40,178,81,치즈,고구마
2,Female,55,165,86,참기름,토마토
1,Female,46,159,47,토마토,사과
2,Female,34,182,70,땅콩,양념갈비
2,Female,43,147,94,느타리 버섯,수박
2,Male,50,142,68,우유,우유
2,Female,46,173,94,쌀밥,우유
0,Female,30,174,92,키위,강냉이(옥수수)
1,Female,59,182,52,수박,우유
1,Female,59,172,55,오렌지,땅콩
1,Female,48,178,68,땅콩,땅콩
1,Male,39,155,58,당근,쇠고기
1,Female,48,168,43,단호박,우유
0,Male,39,180,91,우유,우유
2,Female,53,148,61,잡곡밥,우유
2,Male,31,179,58,귤,백미
2,Male,49,184,53,바나나,땅콩
0,Female,21,142,55,콘플레이크,땅콩
0,Female,51,146,73,우유,우유
1,Female,56,141,61,애호박,미숫가루
1,Female,22,189,67,오이,우유
1,Male,27,182,54,참기름,당근
0,Male,40,185,44,단감,참기름
0,Male,33,183,99,땅콩,귤
0,Female,49,187,55,땅콩,참기름
2,Male,35,175,99,우유,양념갈비
1,Male,53,165,94,표고버섯,애호박
2,Female,42,177,64,백미,우유
0,Male,26,174,90,수박,참기름
1,Male,46,171,45,참기름,어묵(튀긴 것)
2,Male,58,172,72,귤,참기름
0,Male,54,187,49,땅콩,오렌지
0,Male,28,177,42,연근,애호박
0,Male,28,182,84,우유,잡곡밥
2,Male,45,158,83,새우(중하),느타리 버섯
0,Male,48,150,52,귤,우유
1,Female,31,146,55,바나나,굴
1,Male,34,172,67,닭고기(닭다리),토마토
2,Female,34,159,98,참기름,낫또
2,Female,55,141,90,강냉이(옥수수),참기름
1,Male,58,180,87,오이,감자
0,Male,42,152,69,땅콩,마른국수
0,Male,47,176,44,단감,미숫가루
0,Male,23,185,56,오렌지,참기름
2,Female,57,180,95,딸기,사과
2,Male,22,160,89,수박,귤
2,Male,21,146,81,표고버섯,토마토
0,Male,56,158,72,백미,연근
2,Female,58,182,89,가래떡,우유
2,Female,46,172,54,동태,우유
2,Female,39,182,94,땅콩,우유
2,Female,29,158,44,땅콩,도토리 묵
0,Male,21,152,43,우유,수박
2,Male,41,149,96,우유,우유
0,Female,39,147,65,연근,우유
1,Male,36,150,82,인절미,잡곡밥
0,Male,37,173,76,수박,우유
1,Male,49,155,54,고등어,참기름
1,Female,41,151,55,참기름,땅콩
2,Female,45,144,63,뱀장어,키위
0,Female,36,173,67,완두콩,참기름
0,Male,29,151,59,애호박,오이
2,Male,56,170,91,쌀밥,시금치
2,Male,37,167,63,우유,우유
2,Male,37,189,77,참기름,표고버섯
0,Female,22,175,98,사과,북어채
2,Female,43,169,59,멸치,돼지고기
0,Female,42,143,82,곶감,참기름
0,Female,51,157,91,귤,물오징어
0,Male,59,152,81,마른국수,밤
2,Male,44,158,75,단호박,도토리 묵
0,Female,28,159,73,도라지,오이
1,Male,57,165,48,새우(중하),삶은 국수
1,Male,56,182,67,찜갈비,어묵(튀긴 것)
0,Female,46,175,49,도토리 묵,새우(중하)
2,Male,48,166,70,우유,참기름
1,Female,56,179,55,우유,백미
0,Male,37,178,88,감자,잡곡밥
2,Male,20,158,58,오이,완두콩
1,Female,29,176,54,꽁치,당근주스
1,Male,46,168,50,두부,배
1,Female,30,152,67,돼지고기,땅콩
